,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,3pCt2wRdBDa2kCisIdHWgF,To the Bone,7d86ERlvO5UG44j7Va0Y0C,Pamungkas,3QUGmEDo4oijL93sKzlsR4,Flying Solo,2019-06-14,https://api.spotify.com/v1/tracks/3pCt2wRdBDa2kCisIdHWgF,0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991,audio_features,spotify:track:3pCt2wRdBDa2kCisIdHWgF,https://api.spotify.com/v1/tracks/3pCt2wRdBDa2kCisIdHWgF,https://api.spotify.com/v1/audio-analysis/3pCt2wRdBDa2kCisIdHWgF,344571,4
1,6Hii26x3qDErVitnGW8QtO,Runtuh,66NmU5epI0ONGmdCRbLpmW,Feby Putri,5boeKAXsTkdFlm6OnkQxQW,Runtuh,2021-10-01,https://api.spotify.com/v1/tracks/6Hii26x3qDErVitnGW8QtO,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,audio_features,spotify:track:6Hii26x3qDErVitnGW8QtO,https://api.spotify.com/v1/tracks/6Hii26x3qDErVitnGW8QtO,https://api.spotify.com/v1/audio-analysis/6Hii26x3qDErVitnGW8QtO,223974,4
2,2hHeGD57S0BcopfVcmehdl,Hati-Hati di Jalan,2iDVt6mFbtbDEZG5ax0dTi,Tulus,3R4IAF9ApqYeUQrv1ddyoR,Manusia,2022-03-03,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,audio_features,spotify:track:2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/audio-analysis/2hHeGD57S0BcopfVcmehdl,242000,4
3,630DpnzdfjdVqv2yLfPbAX,Bertaut,20zafXaLhm5IcXnSU93rNn,Nadin Amizah,75KyCmWatZRvlMcMRed9BG,Selamat Ulang Tahun,2020-05-28,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,audio_features,spotify:track:630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/audio-analysis/630DpnzdfjdVqv2yLfPbAX,315961,3
4,4GfK1qOF3uBWidbPlTCQRL,Monokrom,2iDVt6mFbtbDEZG5ax0dTi,Tulus,4szhn3xPmOJklFAcqNvTnQ,Monokrom,2016-08-03,https://api.spotify.com/v1/tracks/4GfK1qOF3uBWidbPlTCQRL,0.534,0.462,6,-9.383,1,0.0326,0.573,5.59e-06,0.0974,0.519,88.046,audio_features,spotify:track:4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/tracks/4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/audio-analysis/4GfK1qOF3uBWidbPlTCQRL,214567,4
5,6pmo9ha8iOPZc5lxPU9o8w,Sisa Rasa,3wOsYKZM0zcKNasi3I7fP4,Mahalini,1HWELX1pBJxEArEKKoepuJ,Sisa Rasa,2021-10-22,https://api.spotify.com/v1/tracks/6pmo9ha8iOPZc5lxPU9o8w,0.488,0.405,8,-6.324,0,0.0302,0.503,6.86e-06,0.108,0.152,122.049,audio_features,spotify:track:6pmo9ha8iOPZc5lxPU9o8w,https://api.spotify.com/v1/tracks/6pmo9ha8iOPZc5lxPU9o8w,https://api.spotify.com/v1/audio-analysis/6pmo9ha8iOPZc5lxPU9o8w,254863,4
6,1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),4bAgr9zaF0bpzVGHdHuf0f,Virgoun,6osB48b3PzrABxdspbyYkd,Selamat (Selamat Tinggal),2019-06-17,https://api.spotify.com/v1/tracks/1mruWrUwAVe2XkksUQiaHK,0.361,0.581,0,-8.502,1,0.0302,0.523,5.42e-06,0.118,0.372,79.59,audio_features,spotify:track:1mruWrUwAVe2XkksUQiaHK,https://api.spotify.com/v1/tracks/1mruWrUwAVe2XkksUQiaHK,https://api.spotify.com/v1/audio-analysis/1mruWrUwAVe2XkksUQiaHK,313671,4
7,1ZPVEo8RfmrEz8YAD5n6rW,Lantas,3tMTXQyRrPmMyHv5SoC0TV,Juicy Luicy,17vUW6koeUkV58uYfkK6G3,Sentimental,2020-11-06,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,0.588,0.311,8,-8.143,1,0.025,0.791,0.0,0.352,0.545,86.022,audio_features,spotify:track:1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/audio-analysis/1ZPVEo8RfmrEz8YAD5n6rW,234204,4
8,4kfjA6WfgKBt7I7YKuDCkU,Blue Jeans,4nd1IvFkUoQinjvYdUmOBI,GANGGA,7sO28fbiEU3JbkTcY7vkZi,Blue Jeans,2020-06-05,https://api.spotify.com/v1/tracks/4kfjA6WfgKBt7I7YKuDCkU,0.639,0.297,7,-11.18,1,0.0334,0.938,0.0839,0.18,0.292,113.989,audio_features,spotify:track:4kfjA6WfgKBt7I7YKuDCkU,https://api.spotify.com/v1/tracks/4kfjA6WfgKBt7I7YKuDCkU,https://api.spotify.com/v1/audio-analysis/4kfjA6WfgKBt7I7YKuDCkU,211483,3
9,1b0aDgrG775i4sPQgJGmkU,Tak Ingin Usai,4EiSzlOeMnJcp2U8ayCQ3a,Keisya Levronka,2DskseIWepQ89TxfXn3MtY,Tak Ingin Usai,2022-05-13,https://api.spotify.com/v1/tracks/1b0aDgrG775i4sPQgJGmkU,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,audio_features,spotify:track:1b0aDgrG775i4sPQgJGmkU,https://api.spotify.com/v1/tracks/1b0aDgrG775i4sPQgJGmkU,https://api.spotify.com/v1/audio-analysis/1b0aDgrG775i4sPQgJGmkU,278500,3
