,uri,track,artist,mood,Calm,Energetic,Happy,Sad
0,3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,Happy,0.0826607,0.055298705,0.7674008,0.094639786
1,6Hii26x3qDErVitnGW8QtO,Runtuh,Feby Putri,Sad,0.26330322,0.004447921,0.007622184,0.72462666
2,2hHeGD57S0BcopfVcmehdl,Hati-Hati di Jalan,Tulus,Calm,0.5448568,0.017734567,0.20884943,0.22855917
3,630DpnzdfjdVqv2yLfPbAX,Bertaut,Nadin Amiz,Sad,0.25165948,0.0031845325,0.0071413117,0.73801464
4,4GfK1qOF3uBWidbPlTCQRL,Monokrom,Tulus,Sad,0.31427604,0.044407606,0.19520585,0.44611058
5,6pmo9ha8iOPZc5lxPU9o8w,Sisa Rasa,Mahalini,Sad,0.19407634,0.06185354,0.03539784,0.7086723
6,1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),Virgoun,Sad,0.21467806,0.11061334,0.18653853,0.48817012
7,1ZPVEo8RfmrEz8YAD5n6rW,Lantas,Juicy Luic,Sad,0.3727907,0.0076896,0.05720021,0.5623195
8,4kfjA6WfgKBt7I7YKuDCkU,Blue Jeans,GANGGA,Sad,0.39783904,0.0032632938,0.008276236,0.5906214
9,1b0aDgrG775i4sPQgJGmkU,Tak Ingin Usai,Keisya Lev,Sad,0.17177415,0.010885131,0.008546786,0.8087939
10,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Energetic,0.04105963,0.48252895,0.40738815,0.0690232
11,5drW6PGRxkE6MxttzVLNk5,Secukupnya,Hindia,Happy,0.033597235,0.0814638,0.8675627,0.017376317
12,2AaaE0qvFWtyT8srKNfRhH,Komang,Raim Laode,Sad,0.2847182,0.07461336,0.10310376,0.53756464
13,6shEr6AgLBDlfYlax2UzzL,Melawan Restu,Mahalini,Sad,0.27421606,0.009212506,0.017973078,0.6985984
14,2UgCs0i0rNHUH2jKE5NZHE,Sempurna,Andra & Th,Sad,0.22683737,0.0118785435,0.038525425,0.72275865
15,6dXiWwFrcGieqnoLYzPNp5,Sial,Mahalini,Sad,0.21224876,0.009672506,0.009841513,0.7682372
16,47isJpIIO8m7BJEhiFhnaf,double take,dhruv,Sad,0.26383838,0.011354296,0.012143325,0.71266395
17,2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rod,Sad,0.2041546,0.018180765,0.023966283,0.7536983
18,2aTKrdenCq5qBOoJPFdn4P,Here's Your Perfect,Jamie Mill,Sad,0.25977087,0.07588863,0.14537722,0.5189632
19,5MIpcd16T59wFeqAChSYwC,Duka,Last Child,Energetic,0.031153625,0.6780669,0.21081549,0.079963915
20,3FwQ3RYYEekzjEeL3jdpUZ,Pesan Terakhir,Lyodra,Sad,0.22800651,0.06399463,0.036640346,0.6713585
21,4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walter,Sad,0.24937522,0.11771605,0.24896769,0.38394096
22,6raMBnVBIvvUngMLyDdzyP,Rumah Singgah,Fabio Ashe,Sad,0.34705853,0.008878658,0.029812602,0.61425024
23,1xdp8tXLTGbPeUSEODP9N7,Kukira Kau Rumah,Amigdala,Calm,0.87216276,0.0010855808,0.009605128,0.11714657
24,2wAiFWjRupWmnDkQcu91MF,Rumah Ke Rumah,Hindia,Calm,0.75119513,0.110090725,0.085906744,0.052807353
25,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,Anggi Mari,Sad,0.18225023,0.018372769,0.015282289,0.7840947
26,3Ysf0Y3iu23mrDsVh1mdu0,Merasa Indah,Tiara Andi,Sad,0.20965321,0.013725351,0.033658966,0.7429624
27,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bie,Energetic,0.07964373,0.38432473,0.3347531,0.20127846
28,6gB7kLGZNkf5tkvWkzSGKR,Kisah Sempurna,Mahalini,Sad,0.20651376,0.080626436,0.029268097,0.68359166
29,3TFdXrYIubXABQh0CxIiSs,Asmalibrasi,Soegi Born,Sad,0.2962296,0.017683702,0.23064087,0.45544586
30,2dIBMHByUGcNPzmYBJ6OAj,Evaluasi,Hindia,Energetic,0.017227972,0.5599295,0.39986596,0.022976512
31,5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,Sad,0.23980278,0.05032594,0.06230359,0.64756763
32,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Sad,0.19874899,0.03884339,0.051905595,0.71050197
33,0urpBLpcm6DOGzs86rcKd8,Untuk Perempuan Yang Sedang Di Pelukan,Payung Ted,Sad,0.1882808,0.055713978,0.1419594,0.6140458
34,4qgIQcskrvj6nlypTvBm5k,Waktu Yang Salah,Fiersa Bes,Sad,0.29537055,0.0057102344,0.013031016,0.6858882
35,7iTF9T1jum3Km6H6WMZpDC,One Only,Pamungkas,Sad,0.0836858,0.30435488,0.08742408,0.52453524
36,01beCqR9wsVnwzkAJZyTqq,I Love You but I'm Letting Go,Pamungkas,Sad,0.23025773,0.005942325,0.009057667,0.7547423
37,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styl,Happy,0.07544037,0.17330047,0.53771406,0.21354495
38,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,Awdella,Sad,0.1462496,0.031737324,0.03460342,0.7874095
39,5ajjAnNRh8bxFvaVHzpPjh,Reckless,Madison Be,Sad,0.108007886,0.010638942,0.013169571,0.86818355
40,2FaquTc3FYvNm7RuO1gD6O,Langit Abu-Abu,Tulus,Sad,0.34712085,0.0032145183,0.014315458,0.63534915
41,13sOb9V6Y3uCnRxY9HIZqP,if u could see me cryin' in my room,Arash Buan,Sad,0.22720724,0.002666333,0.01067388,0.75945246
42,3wlLknnMtD8yZ0pCtCeeK4,Angel Baby,Troye Siva,Energetic,0.09995291,0.4563301,0.32806566,0.11565125
43,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,Sad,0.15161937,0.0046012555,0.0085792625,0.8352001
44,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rod,Sad,0.19310345,0.020869736,0.01423197,0.77179486
45,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,raissa ang,Sad,0.12623088,0.005234169,0.0108391,0.85769576
46,62sancAaHEMwPxBuatzaay,Bertahan Terluka,Fabio Ashe,Sad,0.23601414,0.052123934,0.039015632,0.6728464
47,4zDsTPzY7Nm7rYKvszjKYL,Seandainya,Vierra,Happy,0.022119224,0.43378803,0.48403716,0.060055498
48,4HXUMRdT6s6Am6YHcWmuib,Cinta Dan Rahasia,Yura Yunit,Sad,0.43049163,0.0049809623,0.029250106,0.53527725
49,1k1e4Amkn7hIFrEthtazqT,Tutur Batin,Yura Yunit,Sad,0.39300105,0.009137203,0.03334051,0.5645213
50,5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direct,Sad,0.28786618,0.01595022,0.033056494,0.66312706
51,3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,Energetic,0.11662562,0.47292227,0.34851936,0.061932825
52,4ZX6ww7kJCABHIDQfy9Bmd,Mesin Waktu,Budi Dorem,Sad,0.19706611,0.005185182,0.01865018,0.77909845
53,2CoxJRIhTKvHyFIq9FcDO5,It's Only Me - Studio Version,Kaleb J,Sad,0.33797133,0.062260263,0.094476365,0.5052922
54,1tS1dRfxIV9FzqdYTbJgMn,Kenangan Manis,Pamungkas,Happy,0.035410594,0.18853803,0.7309069,0.045144405
55,5TTXEcfsYLh6fTarLaevTi,lowkey,NIKI,Sad,0.31820503,0.117206305,0.06756908,0.49701962
56,5fDCy4Hse30ZsjaTUGKVh5,Sang Dewi,Lyodra,Sad,0.18598506,0.093085095,0.12127833,0.5996516
57,3ZwqWrRpylU9nfy99qwKdR,Pelangi,Hivi!,Sad,0.26299322,0.0036408447,0.0071259406,0.72624
58,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capa,Sad,0.25241935,0.018429106,0.06457327,0.6645784
59,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sa,Sad,0.23197417,0.03364913,0.03177896,0.7025978
60,5zsVcDTZEKISPTCLYiTdwb,L,Hal,Sad,0.25194693,0.007818222,0.035020757,0.705214
61,32Pdf9eyXDEMoClEJW6yYP,Interaksi,Tulus,Sad,0.23949769,0.013003168,0.111950964,0.6355482
62,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arth,Sad,0.24958912,0.049743265,0.1710536,0.52961403
63,09eWF5r8kasfOEp8RFRQLv,Serana,For Reveng,Energetic,0.041702062,0.62735486,0.20953391,0.12140911
64,1MdjZzEInrmDBXf8zs0nKS,Dan...,Sheila On ,Happy,0.1702382,0.18468991,0.46387118,0.18120071
65,7vbZI0mSwt6rpsnAoAAUns,Garis Terdepan,Fiersa Bes,Sad,0.40078294,0.016339283,0.053726714,0.529151
66,77vx7sGjdqwdnQL968t8oY,Monolog,Pamungkas,Calm,0.59530383,0.21108279,0.10319371,0.09041972
67,3iszMeG87RxYujbKieNNRQ,Halu,Feby Putri,Sad,0.2599077,0.0077210455,0.013838637,0.71853256
68,5b0NpyYAwW2dUGL08ir7Bg,Hingga Tua Bersama,Rizky Febi,Sad,0.2571279,0.01515429,0.036786526,0.69093126
69,2qgjqbi96IAOBzZFC6H57U,Diri,Tulus,Sad,0.36328846,0.006607656,0.03610784,0.5939961
70,3Jby9Ezr1E7wCsXe0Dexa6,Tanpa Tergesa,Juicy Luic,Sad,0.3454119,0.07470025,0.19950409,0.3803838
71,4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,Calm,0.48637983,0.007838876,0.058816027,0.4469653
72,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,Sad,0.20366508,0.029876621,0.016983947,0.7494743
73,2sULdMKWdBdK2ZtntuFvSb,Resah Jadi Luka,Daun Jatuh,Calm,0.5000746,0.0050485954,0.011405798,0.48347098
