"","artist","genres","image","popularity","followers","language","circle","new_image_path"
"1","Tulus","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebb2dac5833519e3b4e5f7efdb",75,11940049,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a47b0d11e4.png","tulus.png"
"2","Mahalini","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb8333468abeb2e461d1ab5ea",75,6383773,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4fca3ac9.png","mahalini.png"
"3","Sheila On 7","['indonesian alternative rock', 'indonesian pop']","https://i.scdn.co/image/ab67616d0000b27354270208627aa8061a8abe21",69,6380866,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a447e741a8.png","sheila_on_7.png"
"4","Virgoun","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5eba99ec2b3bd22a84739aac218",70,6021273,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a44ec35f4b.png","virgoun.png"
"5","Rizky Febian","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb754d92e5430939afc3db0fac",63,5910519,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a451596eb0.png","rizky_febian.png"
"6","Andmesh","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb98f1f7ffcfe105d15bd819af",66,5795768,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a460d77dce.png","andmesh.png"
"7","Fiersa Besari","['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']","https://i.scdn.co/image/ab6761610000e5ebaf659f61f9c27fb44fcd153f",68,5288966,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a416d45d74.png","fiersa_besari.png"
"8","Judika","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebecd8c2c8a1c1b638e74d0894",61,5031791,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4702c712f.png","judika.png"
"9","Rossa","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb4d1d09a2913b21c37c0ece06",63,4816767,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a43bd0475f.png","rossa.png"
"10","Pamungkas","['indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb530956230031f5fe079f73cb",70,4720878,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4250e2db.png","pamungkas.png"
