,Artist,Days,T10,Pk,(x?),PkStreams,Total,Title
0,Pamungkas,1274,238.0,1,(x80),750272,208336600,To the Bone
1,Feby Putri,617,434.0,1,(x4),596645,205823463,Runtuh
2,Tulus,473,260.0,1,(x89),1461480,201124998,Hati-Hati di Jalan
3,Nadin Amizah,1116,169.0,1,(x40),380554,191139969,Bertaut
4,Tulus,2378,,12,,421746,182870661,Monokrom
5,Mahalini,602,314.0,3,(x17),459814,170964639,Sisa Rasa
6,Virgoun,1425,3.0,8,,498743,169096253,Selamat (Selamat Tinggal)
7,Juicy Luicy,867,78.0,2,(x1),431137,168288207,Lantas
8,GANGGA,945,144.0,2,(x22),324966,165140626,Blue Jeans
9,Keisya Levronka,396,166.0,1,(x66),751480,150769369,Tak Ingin Usai
10,Ruth B.,891,,13,,310004,148437485,Dandelions
11,Hindia,1368,120.0,1,(x26),337937,146286246,Secukupnya
12,Raim Laode,127,125.0,1,(x64),1780047,144877159,Komang
13,Mahalini,772,41.0,8,,235704,141822051,Melawan Restu
14,Andra & The Backbone,2149,,13,,412297,140131496,Sempurna
15,Mahalini,142,137.0,1,(x19),1499583,139560654,Sial
16,dhruv,786,115.0,2,(x3),346755,139371772,double take
17,Olivia Rodrigo,758,109.0,1,(x26),489522,138784447,happier
18,Jamie Miller,757,193.0,1,(x31),485809,135948711,Here's Your Perfect
19,Last Child,708,1.0,10,,489988,133177590,Duka
20,Lyodra,699,156.0,3,(x14),352521,132471246,Pesan Terakhir
21,The Walters,618,130.0,3,(x19),287809,129419349,I Love You So
22,Fabio Asher,409,131.0,2,(x2),413070,127812607,Rumah Singgah
23,Amigdala,1073,25.0,2,(x3),302215,127434750,Kukira Kau Rumah
24,Hindia,1297,,23,,261420,127163475,Rumah Ke Rumah
25,Anggi Marito,165,105.0,1,(x52),1587709,121904719,Tak Segampang Itu
26,Tiara Andini,541,120.0,1,(x24),350781,120990470,Merasa Indah
27,Justin Bieber,613,132.0,1,(x4),384123,118303334,Ghost
28,Mahalini,423,130.0,4,,396320,118123262,Kisah Sempurna
29,Soegi Bornean,343,132.0,1,(x1),470515,116328331,Asmalibrasi
30,Hindia,573,115.0,1,(x40),501786,115846628,Evaluasi
31,d4vd,253,195.0,2,(x8),608303,114343838,Here With Me
32,Conan Gray,1035,81.0,4,,216707,113389455,Heather
33,Payung Teduh,2634,,21,,164279,112936386,Untuk Perempuan Yang Sedang Di Pelukan
34,Fiersa Besari,1256,190.0,1,(x8),179420,112116838,Waktu Yang Salah
35,Pamungkas,1145,117.0,4,,202067,111938530,One Only
36,Pamungkas,1427,,16,,152404,110999427,I Love You but I'm Letting Go
37,Harry Styles,444,93.0,3,(x20),389156,110750997,As It Was
38,Awdella,266,183.0,2,(x3),620206,110286640,Tertawan Hati
39,Madison Beer,740,86.0,6,,316206,109865298,Reckless
40,Tulus,1397,,27,,269431,108498677,Langit Abu-Abu
41,Arash Buana,1084,,17,,195769,108248024,if u could see me cryin' in my room
42,Troye Sivan,604,104.0,2,(x55),655773,108159406,Angel Baby
43,Joji,373,96.0,1,(x17),1493713,108115905,Glimpse of Us
44,Olivia Rodrigo,758,23.0,8,,251145,107346083,traitor
45,raissa anggiani,308,198.0,1,(x12),625011,107287128,Kau Rumahku
46,Fabio Asher,478,114.0,2,(x19),458985,107266155,Bertahan Terluka
47,Vierra,842,,27,,374030,103904062,Seandainya
